IDs,"metNames",chebi,kegg,mean,max,min,concs
YMDB02073,"PC(20:2(11Z,14Z)/18:2(9Z,12Z))",CHEBI:89081,C00157,2,2,2,2 +/- 0 uM
YMDB02074,"PC(20:2(11Z,14Z)/18:3(6Z,9Z,12Z))",,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
YMDB02075,"PC(20:2(11Z,14Z)/18:3(9Z,12Z,15Z))",,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
YMDB02076,"PC(20:2(11Z,14Z)/18:4(6Z,9Z,12Z,15Z))",,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB02077,"PC(20:2(11Z,14Z)/20:0)",,C00157,0.043,0.04515,0.04085,0.043 +/- 0.00215 uM
YMDB02078,"PC(20:2(11Z,14Z)/20:1(11Z))",,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB02079,"PC(20:2(11Z,14Z)/20:2(11Z,14Z))",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02080,"PC(20:2(11Z,14Z)/20:3(5Z,8Z,11Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02081,"PC(20:2(11Z,14Z)/20:3(8Z,11Z,14Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02082,"PC(20:2(11Z,14Z)/22:0)",,C00157,0.01,0.0105,0.0095,0.01 +/- 0.0005 uM
YMDB02083,"PC(20:2(11Z,14Z)/22:2(13Z,16Z))",CHEBI:89140,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB02084,"PC(20:2(11Z,14Z)/P-16:0)",CHEBI:89132,C00157,0.755,0.79275,0.71725,0.755 +/- 0.03775 uM
YMDB02085,"PC(20:2(11Z,14Z)/P-18:1(11Z))",CHEBI:89130,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB02086,"PC(20:2(11Z,14Z)/P-18:1(9Z))",CHEBI:89120,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB02087,"PC(20:3(5Z,8Z,11Z)/14:0)",CHEBI:89119,C00157,0.109,0.11445,0.10355,0.109 +/- 0.00545 uM
YMDB02088,"PC(20:3(5Z,8Z,11Z)/14:1(9Z))",CHEBI:89123,C00157,0.019,0.01995,0.01805,0.019 +/- 0.00095 uM
